context_id,scheduled_window_start_utc,scheduled_window_end_utc,viewer_mode,vantage_id,feed_uri,bucket,cluster_text,riskset_size,context_total_y,shown_count,zero_exposure_count,gap_equal,gap_timing_residual
330,2026-03-20T23:50:00Z,2026-03-21T00:00:00Z,unauth,unauth,at://did:plc:fe4z2vyyrc7zkrwc3vgdxykm/app.bsky.feed.generator/aaaot2pdkwctq,popular_by_likecount,happy friday!,2,0.21274605355336318,1,1,0.5,0.8084257494872078
1398,2026-03-24T17:30:00Z,2026-03-24T17:40:00Z,auth,auth,at://did:plc:tpsmmglg2coilcnma7cuhk54/app.bsky.feed.generator/aaag7pqa723cq,longtail_random,bsky.app/profile/did:...,3,0.1905514124267734,1,2,0.6666666666666666,0.8058153529168056
57,2026-03-19T10:20:00Z,2026-03-19T10:30:00Z,auth,auth,at://did:plc:lyrmsmhhg7vzz4ghj44y5xzq/app.bsky.feed.generator/fa92779cd55e,longtail_random,"rumours that more military assistance earmarked to #ukraine in the last us defence budget, will now divert to the middle east. what next for the little criminal in #kiev?",2,0.26264953503719357,1,1,0.5,0.8010534820015582
598,2026-03-21T20:10:00Z,2026-03-21T20:20:00Z,auth,auth,at://did:plc:yw5jldlnuker4mb7ttyqephb/app.bsky.feed.generator/aaabgn53jpxru,popular_by_likecount,lol,3,0.3562071871080222,1,2,0.6666666666666667,0.7810012316681394
1827,2026-03-29T13:50:00Z,2026-03-29T14:00:00Z,auth,auth,at://did:plc:3x2yyg4s6c6n26caev222yv3/app.bsky.feed.generator/aaaj2r2xx6krm,longtail_random,www.nytimes.com/2026/03/29/o...,5,0.20584683246043448,1,4,0.7999999999999999,0.7794829534845544
833,2026-03-22T12:10:00Z,2026-03-22T12:20:00Z,unauth,unauth,at://did:plc:4ohogodxdernofx3m6lhcd2a/app.bsky.feed.generator/aaanejfp2tgzs,popular_by_likecount,'zahlen: drei' #fotovorschlag,22,0.23137821315975915,1,21,0.9545454545454544,0.7781401021283944
190,2026-03-20T06:40:00Z,2026-03-20T06:50:00Z,unauth,unauth,at://did:plc:ujbv5agep7botiks7dozqbo3/app.bsky.feed.generator/aaajfu5lurq44,popular_by_likecount,commission,3,0.18428883314870617,1,2,0.6666666666666666,0.7653130654877744
1321,2026-03-24T11:10:00Z,2026-03-24T11:20:00Z,unauth,unauth,at://did:plc:pwnurm5ue23tzmqepudfarvh/app.bsky.feed.generator/aaacg4pir4zyg,popular_by_likecount,⊹ #plussizemodel ⊹ #wagonwednesday ⊹ #booty ⊹ #bbw ⊹ #sellingcontent ⊹ #cowgirl ⊹ #cuntry ⊹ #thick ⊹ #brat ⊹ #altgirls ⊹,11,1.1309297535714575,2,9,0.8181818181818181,0.7638456479865193
1278,2026-03-24T00:20:00Z,2026-03-24T00:30:00Z,auth,auth,at://did:plc:lfdf4srj43iwdng7jn35tjsp/app.bsky.feed.generator/aaae2qpt4236c,popular_by_likecount,dua lipa,2,0.2890648263178879,1,1,0.5,0.7549602545729746
1467,2026-03-26T01:40:00Z,2026-03-26T01:50:00Z,auth,auth,at://did:plc:wxesy5dxtsjsdc6pra5fwnhc/app.bsky.feed.generator/aaabpmwhwbpiy,popular_by_likecount,democrats-judiciary.house.gov/media-center...,4,0.1781035935540111,1,3,0.75,0.7528708787503092
334,2026-03-21T00:20:00Z,2026-03-21T00:30:00Z,unauth,unauth,at://did:plc:fe4z2vyyrc7zkrwc3vgdxykm/app.bsky.feed.generator/aaaot2pdkwctq,popular_by_likecount,happy friday!,2,0.21274605355336318,1,1,0.5,0.7426396071378316
